date,precipitacion
2002-01-01,0.044
2002-02-01,0.093
2002-03-01,0.113
2002-04-01,0.048
2002-05-01,0.01
2002-06-01,0.003
2002-07-01,0.015
2002-08-01,0.009
2002-09-01,0.033
2002-10-01,0.033
2002-11-01,0.057
2002-12-01,0.059
2003-01-01,0.055
2003-02-01,0.084
2003-03-01,0.102
2003-04-01,0.045
2003-05-01,0.008
2003-06-01,0.003
2003-07-01,0.002
2003-08-01,0.009
2003-09-01,0.012
2003-10-01,0.009
2003-11-01,0.023
2003-12-01,0.088
2004-01-01,0.024
2004-02-04,0.08
2004-03-01,0.076
2004-04-01,0.028
2004-05-01,0.008
2004-06-01,0.006
2004-07-01,0.009
2004-08-01,0.006
2004-09-01,0.02
2004-10-01,0.031
2004-11-01,0.046
2004-12-01,0.072
2005-01-01,0.046
2005-02-01,0.05
2005-03-01,0.084
2005-04-01,0.025
2005-05-01,0.007
2005-06-01,0.002
2005-07-01,0.003
2005-08-01,0.003
2005-09-01,0.007
2005-10-01,0.016
2005-11-01,0.012
2005-12-01,0.062
2006-01-01,0.091
2006-02-01,0.056
2006-03-01,0.129
2006-04-01,0.063
2006-05-01,0.004
2006-06-01,0.006
2006-07-01,0.003
2006-08-01,0.012
2006-09-01,0.016
2006-10-01,0.018
2006-11-01,0.049
2006-12-01,0.08
2007-01-01,0.064
2007-02-01,0.073
2007-03-01,0.115
2007-04-01,0.026
2007-05-01,0.004
2007-06-01,0.007
2007-07-01,0.005
2007-08-01,0.01
2007-09-01,0.008
2007-10-01,0.027
2007-11-01,0.028
2007-12-01,0.067
2008-01-01,0.096
2008-02-01,0.095
2008-03-01,0.086
2008-04-01,0.032
2008-05-01,0.01
2008-06-01,0.008
2008-07-01,0.009
2008-08-01,0.006
2008-09-01,0.014
2008-10-01,0.033
2008-11-01,0.026
2008-12-01,0.032
2009-01-01,0.065
2009-02-01,0.063
2009-03-01,0.095
2009-04-01,0.047
2009-05-01,0.01
2009-06-01,0.004
2009-07-01,0.005
2009-08-01,0.007
2009-09-01,0.009
2009-10-01,0.022
2009-11-01,0.031
2009-12-01,0.042
2010-01-01,0.088
2010-02-01,0.07
2010-03-01,0.063
2010-04-01,0.02
2010-05-01,0.004
2010-06-01,0.004
2010-07-01,0.003
2010-08-01,0.011
2010-09-01,0.012
2010-10-01,0.019
2010-11-01,0.021
2010-12-01,0.04
2011-01-01,0.061
2011-02-08,0.083
2011-03-01,0.093
2011-04-01,0.038
2011-05-01,0.011
2011-06-01,0.003
2011-07-01,0.009
2011-08-01,0.005
2011-09-01,0.014
2011-10-01,0.018
2011-11-01,0.037
2011-12-01,0.071
2012-01-01,0.058
2012-02-01,0.098
2012-03-01,0.125
2012-04-01,0.043
2012-05-01,0.008
2012-06-01,0.005
2012-07-01,0.015
2012-08-01,0.007
2012-09-01,0.023
2012-10-01,0.04
2012-11-01,0.02
2012-12-01,0.043
2013-01-01,0.05
2013-02-01,0.105
2013-03-01,0.063
2013-04-01,0.025
2013-05-01,0.007
2013-06-01,0.008
2013-07-01,0.005
2013-08-01,0.005
2013-09-01,0.009
2013-10-01,0.027
2013-11-01,0.019
2013-12-01,0.05
2014-01-01,0.062
2014-02-01,0.07
2014-03-01,0.088
2014-04-01,0.028
2014-05-01,0.014
2014-06-01,0.009
2014-07-01,0.004
2014-08-01,0.005
2014-09-01,0.016
2014-10-01,0.028
2014-11-01,0.036
2014-12-01,0.05
2015-01-01,0.058
2015-02-01,0.081
2015-03-01,0.08
2015-04-01,0.023
2015-05-01,0.015
2015-06-01,0.005
2015-07-01,0.013
2015-08-01,0.01
2015-09-01,0.015
2015-10-01,0.015
2015-11-01,0.024
2015-12-01,0.059
2016-01-01,0.042
2016-02-01,0.106
2016-03-01,0.087
2016-04-01,0.02
2016-05-01,0.005
2016-06-01,0.003
2016-07-01,0.005
2016-08-01,0.004
2016-09-01,0.012
2016-10-01,0.013
2016-11-01,0.018
2016-12-01,0.05
