journal_name,title,authors_raw,publication_date,year,doi,url,abstract,n_authors,citations,views,downloads,n_references,topic_label
Big Data and Cognitive Computing,MobileNet-HeX: Heterogeneous Ensemble of MobileNet eXperts for Efficient and Scalable Vision Model Optimization,"Pintelas, Emmanuel; Livieris, Ioannis E.; Tampakas, Vasilis; Pintelas, Panagiotis",2025/1,2025,10.3390/bdcc9010002,https://www.mdpi.com/2504-2289/9/1/2,"Efficient and accurate vision models are essential for real-world applications such as medical imaging and deepfake detection, where both performance and computational efficiency are critical. While recent vision models achieve high accuracy, they often come with the trade-off of increased size and computational demands. In this work, we propose MobileNet-HeX, a new ensemble model based on Heterogeneous MobileNet eXperts, designed to achieve top-tier performance while minimizing computational demands in real-world vision tasks. By utilizing a two-step Expand-and-Squeeze mechanism, MobileNet-HeX first expands a MobileNet population through diverse random training setups. It then squeezes the population through pruning, selecting the top-performing models based on heterogeneity and validation performance metrics. Finally, the selected Heterogeneous eXpert MobileNets are combined via sequential quadratic programming to form an efficient super-learner. MobileNet-HeX is benchmarked against state-of-the-art vision models in challenging case studies, such as skin cancer classification and deepfake detection. The results demonstrate that MobileNet-HeX not only surpasses these models in performance but also excels in speed and memory efficiency. By effectively leveraging a diverse set of MobileNet eXperts, we experimentally show that small, yet highly optimized, models can outperform even the most powerful vision networks in both accuracy and computational efficiency. Keywords: ensemble learning; MobileNet; convolutional neural networks; image classification",4,NA,NA,0,37,Machine Learning
Big Data and Cognitive Computing,Cognitive Method for Synthesising a Fuzzy Controller Mathematical Model Using a Genetic Algorithm for Tuning,"Vladov, Serhii",2025/1,2025,10.3390/bdcc9010017,https://www.mdpi.com/2504-2289/9/1/17,"In this article, a fuzzy controller mathematical model synthesising method that uses cognitive computing and a genetic algorithm for automated tuning and adaptation to changing environmental conditions has been developed. The technique consists of 12 stages, including creating the control objects’ mathematical model and tuning the controller coefficients using classical methods. The research pays special attention to the error parameters and their derivative fuzzification, which simplifies the development of logical rules and helps increase the stability of the systems. The fuzzy controller parameters were tuned using a genetic algorithm in a computational experiment based on helicopter flight data. The results show an increase in the integral quality criterion from 85.36 to 98.19%, which confirms an increase in control efficiency by 12.83%. The fuzzy controller use made it possible to significantly improve the helicopter turboshaft engines’ gas-generator rotor speed control performance, reducing the first and second types of errors by 2.06…12.58 times compared to traditional methods. Keywords: fuzzy controller; fuzzy logic; cognitive computing; genetic algorithm; helicopter turboshaft engine; gas-generator rotor speed; integral quality criterion",1,NA,NA,0,100,Otros
Big Data and Cognitive Computing,AI-Driven Mental Health Surveillance: Identifying Suicidal Ideation Through Machine Learning Techniques,"Allam, Hesham; Davison, Chris; Kalota, Faisal; Lazaros, Edward; Hua, David",2025/1,2025,10.3390/bdcc9010016,https://www.mdpi.com/2504-2289/9/1/16,"As suicide rates increase globally, there is a growing need for effective, data-driven methods in mental health monitoring. This study leverages advanced artificial intelligence (AI), particularly natural language processing (NLP) and machine learning (ML), to identify suicidal ideation from Twitter data. A predictive model was developed to process social media posts in real time, using NLP and sentiment analysis to detect textual and emotional cues associated with distress. The model aims to identify potential suicide risks accurately, while minimizing false positives, offering a practical tool for targeted mental health interventions. The study achieved notable predictive performance, with an accuracy of 85%, precision of 88%, and recall of 83% in detecting potential suicide posts. Advanced preprocessing techniques, including tokenization, stemming, and feature extraction with term frequency–inverse document frequency (TF-IDF) and count vectorization, ensured high-quality data transformation. A random forest classifier was selected for its ability to handle high-dimensional data and effectively capture linguistic and emotional patterns linked to suicidal ideation. The model’s reliability was supported by a precision–recall AUC score of 0.93, demonstrating its potential for real-time mental health monitoring and intervention. By identifying behavioral patterns and triggers, such as social isolation and bullying, this framework provides a scalable and efficient solution for mental health support, contributing significantly to suicide prevention strategies worldwide. Keywords: machine learning; artificial intelligence; suicidal ideation detection; mental health analysis; natural language processing; sentiment analysis; predictive modeling",5,NA,NA,0,30,Machine Learning
Big Data and Cognitive Computing,Eliciting Emotions: Investigating the Use of Generative AI and Facial Muscle Activation in Children’s Emotional Recognition,"Solis-Arrazola, Manuel A.; Sanchez-Yanez, Raul E.; Gonzalez-Acosta, Ana M. S.; Garcia-Capulin, Carlos H.; Rostro-Gonzalez, Horacio",2025/1,2025,10.3390/bdcc9010015,https://www.mdpi.com/2504-2289/9/1/15,"This study explores children’s emotions through a novel approach of Generative Artificial Intelligence (GenAI) and Facial Muscle Activation (FMA). It examines GenAI’s effectiveness in creating facial images that produce genuine emotional responses in children, alongside FMA’s analysis of muscular activation during these expressions. The aim is to determine if AI can realistically generate and recognize emotions similar to human experiences. The study involves generating a database of 280 images (40 per emotion) of children expressing various emotions. For real children’s faces from public databases (DEFSS and NIMH-CHEFS), five emotions were considered: happiness, angry, fear, sadness, and neutral. In contrast, for AI-generated images, seven emotions were analyzed, including the previous five plus surprise and disgust. A feature vector is extracted from these images, indicating lengths between reference points on the face that contract or expand based on the expressed emotion. This vector is then input into an artificial neural network for emotion recognition and classification, achieving accuracies of up to 99% in certain cases. This approach offers new avenues for training and validating AI algorithms, enabling models to be trained with artificial and real-world data interchangeably. The integration of both datasets during training and validation phases enhances model performance and adaptability. Keywords: generative artificial intelligence; facial emotion recognition; facial muscle activation; artificial neural networks",5,NA,NA,0,56,IA Generativa
Big Data and Cognitive Computing,A Secure Learned Image Codec for Authenticity Verification via Self-Destructive Compression,"Huang, Chen-Hsiu; Wu, Ja-Ling",2025/1,2025,10.3390/bdcc9010014,https://www.mdpi.com/2504-2289/9/1/14,"In the era of deepfakes and AI-generated content, digital image manipulation poses significant challenges to image authenticity, creating doubts about the credibility of images. Traditional image forensics techniques often struggle to detect sophisticated tampering, and passive detection approaches are reactive, verifying authenticity only after counterfeiting occurs. In this paper, we propose a novel full-resolution secure learned image codec (SLIC) designed to proactively prevent image manipulation by creating self-destructive artifacts upon re-compression. Once a sensitive image is encoded using SLIC, any subsequent re-compression or editing attempts will result in visually severe distortions, making the image’s tampering immediately evident. Because the content of an SLIC image is either original or visually damaged after tampering, images encoded with this secure codec hold greater credibility. SLIC leverages adversarial training to fine-tune a learned image codec that introduces out-of-distribution perturbations, ensuring that the first compressed image retains high quality while subsequent re-compressions degrade drastically. We analyze and compare the adversarial effects of various perceptual quality metrics combined with different learned codecs. Our experiments demonstrate that SLIC holds significant promise as a proactive defense strategy against image manipulation, offering a new approach to enhancing image credibility and authenticity in a media landscape increasingly dominated by AI-driven forgeries. Keywords: secure learned image codec; non-idempotent codec; image authentication; image manipulation defense",2,NA,NA,0,63,Otros
Big Data and Cognitive Computing,Predicting Intensive Care Unit Admissions in COVID-19 Patients: An AI-Powered Machine Learning Model,"Mutawa, A. M.",2025/1,2025,10.3390/bdcc9010013,https://www.mdpi.com/2504-2289/9/1/13,"Intensive Care Units (ICUs) have been in great demand worldwide since the COVID-19 pandemic, necessitating organized allocation. The spike in critical care patients has overloaded ICUs, which along with prolonged hospitalizations, has increased workload for medical personnel and lead to a significant shortage of resources. The study aimed to improve resource management by quickly and accurately identifying patients who need ICU admission. We designed an intelligent decision support system that employs machine learning (ML) to anticipate COVID-19 ICU admissions in Kuwait. Our algorithm examines several clinical and demographic characteristics to identify high-risk individuals early in illness diagnosis. We used 4399 patients to identify ICU admission with predictors such as shortness of breath, high D-dimer values, and abnormal chest X-rays. Any data imbalance was addressed by employing cross-validation along with the Synthetic Minority Oversampling Technique (SMOTE), the feature selection was refined using backward elimination, and the model interpretability was improved using Shapley Additive Explanations (SHAP). We employed various ML classifiers, including support vector machines (SVM). The SVM model surpasses all other models in terms of precision (0.99) and area under curve (AUC, 0.91). This study investigated the healthcare process during a pandemic, facilitating ML-based decision-making solutions to confront healthcare problems. Keywords: COVID-19; feature selection; intensive care unit; machine learning; SMOTE; SHAP",1,NA,NA,0,72,Machine Learning
Big Data and Cognitive Computing,Quantum-Cognitive Neural Networks: Assessing Confidence and Uncertainty with Human Decision-Making Simulations,"Maksimovic, Milan; Maksymov, Ivan S.",2025/1,2025,10.3390/bdcc9010012,https://www.mdpi.com/2504-2289/9/1/12,"Contemporary machine learning (ML) systems excel in recognising and classifying images with remarkable accuracy. However, like many computer software systems, they can fail by generating confusing or erroneous outputs or by deferring to human operators to interpret the results and make final decisions. In this paper, we employ the recently proposed quantum tunnelling neural networks (QT-NNs) inspired by human brain processes alongside quantum cognition theory to classify image datasets while emulating human perception and judgment. Our findings suggest that the QT-NN model provides compelling evidence of its potential to replicate human-like decision-making. We also reveal that the QT-NN model can be trained up to 50 times faster than its classical counterpart. Keywords: artificial intelligence; machine learning; neural networks; quantum tunnelling; uncertainty",2,NA,NA,0,117,Machine Learning
Big Data and Cognitive Computing,The Data Heterogeneity Issue Regarding COVID-19 Lung Imaging in Federated Learning: An Experimental Study,"Alhafiz, Fatimah; Basuhail, Abdullah",2025/1,2025,10.3390/bdcc9010011,https://www.mdpi.com/2504-2289/9/1/11,"Federated learning (FL) has emerged as a transformative framework for collaborative learning, offering robust model training across institutions while ensuring data privacy. In the context of making a COVID-19 diagnosis using lung imaging, FL enables institutions to collaboratively train a global model without sharing sensitive patient data. A central manager aggregates local model updates to compute global updates, ensuring secure and effective integration. The global model’s generalization capability is evaluated using centralized testing data before dissemination to participating nodes, where local assessments facilitate personalized adaptations tailored to diverse datasets. Addressing data heterogeneity, a critical challenge in medical imaging, is essential for improving both global performance and local personalization in FL systems. This study emphasizes the importance of recognizing real-world data variability before proposing solutions to tackle non-independent and non-identically distributed (non-IID) data. We investigate the impact of data heterogeneity on FL performance in COVID-19 lung imaging across seven distinct heterogeneity settings. By comprehensively evaluating models using generalization and personalization metrics, we highlight challenges and opportunities for optimizing FL frameworks. The findings provide valuable insights that can guide future research toward achieving a balance between global generalization and local adaptation, ultimately enhancing diagnostic accuracy and patient outcomes in COVID-19 lung imaging. Keywords: federated learning; data heterogeneity; non-IID; global model; skew types; generalization metric; personalization metric",2,NA,NA,0,52,Otros
Big Data and Cognitive Computing,SqueezeMaskNet: Real-Time Mask-Wearing Recognition for Edge Devices,"Benitez-Garcia, Gibran; Prudente-Tixteco, Lidia; Olivares-Mercado, Jesus; Takahashi, Hiroki",2025/1,2025,10.3390/bdcc9010010,https://www.mdpi.com/2504-2289/9/1/10,"This paper presents SqueezeMaskNet, a lightweight convolutional neural network designed for real-time recognition of proper and improper mask usage. The model classifies four categories: masks worn correctly, masks covering only the mouth, masks not covering, and no mask. SqueezeMaskNet integrates seamlessly with existing face detection systems, removing the need for retraining. We propose using Fire modules for efficiency, along with attention mechanisms like efficient channel attention (ECA) and squeeze-and-excitation (SE) blocks for improved feature refinement. SqueezeMaskNet achieved 96.7% accuracy on the challenging FineFM test set and ran at 297 FPS on a GPU and up to 96 FPS on edge devices like a Jetson Orin NX. We also introduced ImproperTFM, a subset of real-world images focusing on improper mask usage, which enhanced the model accuracy when combined with FineFM data. Comparative experiments demonstrated SqueezeMaskNet’s superior performance, efficiency, and adaptability compared to MobileNet and EfficientNet, making it a practical solution for mask-wearing recognition across various devices and settings. Keywords: proper mask-wearing recognition; lightweight neural networks; SqueezeMaskNet; real-time inference; FineFM dataset",4,NA,NA,0,27,Machine Learning
Big Data and Cognitive Computing,DRCCT: Enhancing Diabetic Retinopathy Classification with a Compact Convolutional Transformer,"Touati, Mohamed; Touati, Rabeb; Nana, Laurent; Benzarti, Faouzi; Ben Yahia, Sadok",2025/1,2025,10.3390/bdcc9010009,https://www.mdpi.com/2504-2289/9/1/9,"Diabetic retinopathy, a common complication of diabetes, is further exacerbated by factors such as hypertension and obesity. This study introduces the Diabetic Retinopathy Compact Convolutional Transformer (DRCCT) model, which combines convolutional and transformer techniques to enhance the classification of retinal images. The DRCCT model achieved an impressive average F1-score of 0.97, reflecting its high accuracy in detecting true positives while minimizing false positives. Over 100 training epochs, the model demonstrated outstanding generalization capabilities, achieving a remarkable training accuracy of 99% and a validation accuracy of 95%. This consistent improvement underscores the model’s robust learning process and its effectiveness in avoiding overfitting. On a newly evaluated dataset, the model attained precision and recall scores of 96.93% and 98.89%, respectively, indicating a well-balanced handling of false positives and false negatives. The model’s ability to classify retinal images into five distinct diabetic retinopathy categories demonstrates its potential to significantly improve automated diagnosis and aid in clinical decision-making. Keywords: AI; diabetic retinopathy; deep learning; DRCCT; classification; transformer",5,NA,NA,0,30,Machine Learning
