Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;24721;"Annals of Mathematics";journal;"0003486X, 19398980";"Department of Mathematics at Princeton University";No;No;9,137;Q1;153;25;102;1254;601;102;4,66;50,16;12,50;0;United States;Northern America;"Department of Mathematics at Princeton University";"1996-2025";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
2;12094;"Journal of the American Statistical Association";journal;"01621459, 1537274X";"Taylor and Francis Ltd.";No;No;3,790;Q1;238;304;644;12753;3149;612;4,80;41,95;29,89;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1922-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
3;21100887442;"Forum of Mathematics, Pi";journal;"20505086";"Cambridge University Press";Yes;No;3,787;Q1;26;25;81;1374;252;81;2,33;54,96;13,33;0;United Kingdom;Western Europe;"Cambridge University Press";"2013-2026";"Algebra and Number Theory (Q1); Analysis (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1); Mathematical Physics (Q1); Statistics and Probability (Q1)";"Mathematics"
4;13531;"Journal of the Royal Statistical Society. Series B: Statistical Methodology";journal;"14679868, 13697412";"Oxford University Press";No;No;3,734;Q1;165;74;340;3720;1182;237;2,17;50,27;24,18;1;United Kingdom;Western Europe;"Oxford University Press";"1983, 1989, 1997-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
5;13649;"Annals of Statistics";journal;"21688966, 00905364";"Institute of Mathematical Statistics";No;No;3,697;Q1;213;104;362;6282;1702;362;3,78;60,40;25,81;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
6;12137;"Journal of Statistical Software";journal;"15487660";"University of California at Los Angeles";Yes;Yes;3,677;Q1;199;43;122;2351;1338;121;13,62;54,67;32,61;0;United States;Northern America;"University of California at Los Angeles";"1996-2025";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics"
7;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";"Taylor and Francis Ltd.";No;No;3,508;Q1;127;121;360;5071;1273;336;2,92;41,91;23,67;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2026";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
8;21100332429;"Annual Review of Statistics and Its Application";journal;"23268298, 2326831X";"Annual Reviews Inc.";No;No;3,491;Q1;53;23;75;2239;991;75;10,12;97,35;36,92;0;United States;Northern America;"Annual Reviews Inc.";"2014-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
9;15049;"Biometrika";journal;"14643510, 00063444";"Oxford University Press";No;No;3,400;Q1;142;96;232;3348;897;227;3,66;34,88;20,60;0;United Kingdom;Western Europe;"Oxford University Press";"1908-1913, 1917, 1945, 1947-1951, 1965-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Agricultural and Biological Sciences; Decision Sciences; Mathematics"
10;21100198229;"Statistics Surveys";journal;"19357516";"Institute of Mathematical Statistics";Yes;No;3,177;Q1;28;3;17;293;360;17;8,09;97,67;42,86;0;United States;Northern America;"Institute of Mathematical Statistics";"2007-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
11;24724;"Annals of Probability";journal;"2168894X, 00911798";"Institute of Mathematical Statistics";No;No;2,849;Q1;109;47;173;2101;438;173;2,33;44,70;13,46;0;United States;Northern America;"Institute of Mathematical Statistics";"1981, 1996-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
12;21101198720;"Probability and Mathematical Physics";journal;"26900998, 26901005";"Mathematical Sciences Publishers";No;No;2,819;Q1;13;24;56;1145;171;56;2,83;47,71;8,16;0;United States;Northern America;"Mathematical Sciences Publishers";"2020-2026";"Atomic and Molecular Physics, and Optics (Q1); Statistical and Nonlinear Physics (Q1); Statistics and Probability (Q1)";"Mathematics; Physics and Astronomy"
13;17945;"Bioinformatics";journal;"13674811, 13674803";"Oxford University Press";Yes;No;2,527;Q1;511;669;2583;23223;17404;2574;6,18;34,71;31,74;0;United Kingdom;Western Europe;"Oxford University Press";"1985-2026";"Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
14;21100265617;"Weather and Climate Extremes";journal;"22120947";"Elsevier B.V.";Yes;No;2,304;Q1;79;97;307;6504;2489;306;7,18;67,05;37,95;3;Netherlands;Western Europe;"Elsevier B.V.";"2013-2026";"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Statistics and Probability (Q1)";"Earth and Planetary Sciences; Environmental Science; Mathematics; Social Sciences"
15;14756;"Statistical Science";journal;"08834237, 21688745";"Institute of Mathematical Statistics";No;No;2,085;Q1;132;20;120;1291;532;116;4,83;64,55;32,56;0;United States;Northern America;"Institute of Mathematical Statistics";"1986-2025";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
16;25829;"Probability Theory and Related Fields";journal;"01788051, 14322064";"Springer New York";No;No;2,058;Q1;100;134;220;5918;496;220;2,22;44,16;15,57;0;Germany;Western Europe;"Springer New York";"1986-2026";"Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
17;12711;"Multivariate Behavioral Research";journal;"00273171, 15327906";"Routledge";No;No;2,017;Q1;110;88;214;4827;852;212;4,16;54,85;36,71;1;United States;Northern America;"Routledge";"1966-2026";"Arts and Humanities (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)";"Arts and Humanities; Mathematics; Medicine; Psychology"
18;20969;"Journal of Machine Learning Research";journal;"15337928, 15324435";"Microtome Publishing";Yes;No;1,997;Q1;302;307;1168;19817;10368;1168;8,35;64,55;21,71;0;United States;Northern America;"Microtome Publishing";"2001-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1)";"Computer Science; Engineering; Mathematics"
19;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;1,907;Q1;165;2007;3060;99909;24172;340;6,78;49,78;37,06;26;United Kingdom;Western Europe;"Nature Research";"2014-2026";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
20;21100199809;"Probability Surveys";journal;"15495787";"Institute of Mathematical Statistics";Yes;No;1,735;Q1;47;2;32;149;67;32;1,90;74,50;0,00;0;United States;Northern America;"Institute of Mathematical Statistics";"2004-2025";"Statistics and Probability (Q1)";"Mathematics"
